Transect_id,year,Analysis type,Basal_cm,Canopy_cm,Total_cm,Transect_cm,Code,Status,Full_name,RevBI,FS_BAND,TRT,PctC,Growth_form,Origin
1HAS1,1998,entire,0,1,1,5000,ipag,live,Ipomopsis aggregata,High,FS,Seeded,0,F,
1HAS1,1998,entire,0,18,18,5000,cisp,live,Cirsium spp.,High,FS,Seeded,0,F,
1HAS1,2008,entire,2265,0,2265,5010,litt,live,Litter,High,FS,Seeded,0,L,
1HAS1,2008,entire,1676,0,1676,5010,bare,live,"combined soil,cryp,pumc,grav,rock",High,FS,Seeded,0,B,
1HAS1,2008,entire,662,154,816,5010,wood,live,Dead wood,High,FS,Seeded,3,L,
1HAS1,2008,entire,147,865,1012,5010,mumo,live,Muhlenbergia montana,High,FS,Seeded,17,G,
1HAS1,2008,entire,90,0,90,5010,pipo,dead,Pinus ponderosa,High,FS,Seeded,0,T,
1HAS1,2008,entire,56,312,368,5010,caxx,live,Carex spp.,High,FS,Seeded,6,G,
1HAS1,2008,entire,49,932,981,5010,brin,live,Bromus inermis,High,FS,Seeded,19,G,
1HAS1,2008,entire,40,118,158,5010,bltr,live,Blepharoneuron tricholepis,High,FS,Seeded,2,L,
1HAS1,2008,entire,10,83,93,5010,bocu,live,Bouteloua curtipendula,High,FS,Seeded,2,G,
1HAS1,2008,entire,6,17,23,5010,cixx,live,Cirsium sp.,High,FS,Seeded,0,F,
1HAS1,2008,entire,5,52,57,5010,gras,live,Unidentified grass,High,FS,Seeded,1,G,
1HAS1,2008,entire,2,6,8,5010,gras,dead,Unidentified grass,High,FS,Seeded,0,G,
1HAS1,2008,entire,2,23,25,5010,gexx,live,Geranium species,High,FS,Seeded,0,F,
1HAS1,2008,entire,0,487,487,5010,cefe,live,Ceanothus fendleri,High,FS,Seeded,10,U,
1HAS1,2008,entire,0,27,27,5010,rone,live,Robinia neomexicana,High,FS,Seeded,1,S,
1HAS1,2008,entire,0,438,438,5010,quga,live,Quercus gambellii,High,FS,Seeded,9,S,
1HAS1,2008,entire,0,13,13,5010,hier,live,Hieracium spp.,High,FS,Seeded,0,F,
1HAS1,2008,entire,0,3,3,5010,forb,dead,Unidentified forb,High,FS,Seeded,0,F,
1HAS1,2008,entire,0,39,39,5010,ipag,live,Ipomopsis aggregata,High,FS,Seeded,1,F,
1HAS1,2008,entire,0,52,52,5010,ipag,dead,Ipomopsis aggregata,High,FS,Seeded,1,F,
1HAS1,2008,entire,0,46,46,5010,elel,live,Elymus elymoides,High,FS,Seeded,1,G,
1HAS1,2008,entire,0,3,3,5010,mela,live,Mentzelia laciniata,High,FS,Seeded,0,F,
1HAS1,2008,entire,0,84,84,5010,cefe,dead,Ceanothus fendleri,High,FS,Seeded,2,U,
1HAS1,2008,entire,0,5,5,5010,badi,live,Bahia dissecta,High,FS,Seeded,0,F,
1HAS1,2008,entire,0,8,8,5010,arlu,live,Artemisia ludoviciana,High,FS,Seeded,0,F,
1HAS1,2008,entire,0,9,9,5010,oexx,live,Oenothera sp.,High,FS,Seeded,0,F,
1HAS1,2013,entire,2251,0,2251,5016,bare,live,"combined soil,pumc,grav,rock",High,FS,Seeded,0,F,
1HAS1,2013,entire,1899,0,1899,5016,pumc,live,Pumice soil,High,FS,Seeded,0,B,
1HAS1,2013,entire,643,88,731,5016,litt,live,Litter,High,FS,Seeded,2,L,
1HAS1,2013,entire,97,1018,1115,5016,brin,live,Bromus inermis,High,FS,Seeded,20,G,
1HAS1,2013,entire,73,3,76,5016,wood,live,Dead wood,High,FS,Seeded,0,L,
1HAS1,2013,entire,31,122,153,5016,mumo,live,Muhlenbergia montana,High,FS,Seeded,2,G,
1HAS1,2013,entire,9,236,245,5016,cixx,live,Cirsium sp.,High,FS,Seeded,5,F,
1HAS1,2013,entire,8,402,410,5016,quga,live,Quercus gambellii,High,FS,Seeded,8,S,
1HAS1,2013,entire,5,0,5,5016,unkn,dead,Unknown plant,High,FS,Seeded,0,F,
1HAS1,2013,entire,0,100,100,5016,geca,live,Geranium caespitosum,High,FS,Seeded,2,F,
1HAS1,2013,entire,0,55,55,5016,rone,live,Robinia neomexicana,High,FS,Seeded,1,S,
1HAS1,2013,entire,0,46,46,5016,cixx,dead,Cirsium sp.,High,FS,Seeded,1,F,
1HAS1,2013,entire,0,56,56,5016,ipag,live,Ipomopsis aggregata,High,FS,Seeded,1,F,
1HAS1,2013,entire,0,9,9,5016,oexx,live,Oenothera sp.,High,FS,Seeded,0,F,
1HAS1,2013,entire,0,15,15,5016,euse,live,Euphorbia serpyllifolia,High,FS,Seeded,0,F,
1HAS1,2013,entire,0,416,416,5016,cefe,live,Ceanothus fendleri,High,FS,Seeded,8,U,
1HAS1,2013,entire,0,33,33,5016,badi,live,Bahia dissecta,High,FS,Seeded,1,F,
1HAS1,2013,entire,0,6,6,5016,chfe,live,Cheilanthes feei,High,FS,Seeded,0,0,
1HAS1,2013,entire,0,4,4,5016,arlu,live,Artemisia ludoviciana,High,FS,Seeded,0,F,
1HAS1,2013,entire,0,7,7,5016,oexx,dead,Oenothera sp.,High,FS,Seeded,0,F,
1HAS1,2013,entire,0,17,17,5016,acmi,live,Achillea millefolium,High,FS,Seeded,0,F,
1HAS1,2016,entire,2212,0,2212,5009,pumc,live,Pumice soil,High,FS,Seeded,0,B,
1HAS1,2016,entire,1288,0,1288,5009,bare,live,"combined soil,pumc,grav,rock",High,FS,Seeded,0,F,
1HAS1,2016,entire,634,2284,2918,5009,brin,live,Bromus inermis,High,FS,Seeded,46,G,
1HAS1,2016,entire,631,117,748,5009,litt,live,Litter,High,FS,Seeded,2,L,
1HAS1,2016,entire,95,366,461,5009,gras,live,Unidentified grass,High,FS,Seeded,7,G,
1HAS1,2016,entire,28,0,28,5009,wood,live,Dead wood,High,FS,Seeded,0,L,
1HAS1,2016,entire,25,0,25,5009,pipo,dead,Pinus ponderosa,High,FS,Seeded,0,T,
1HAS1,2016,entire,23,0,23,5009,blit,live,"dead, attached BRIN lvs on grnd over bare",High,FS,Seeded,0,L,
1HAS1,2016,entire,22,39,61,5009,forb,dead,Unidentified forb,High,FS,Seeded,1,F,
1HAS1,2016,entire,14,369,383,5009,subs,live,Unidentified subshrub,High,FS,Seeded,7,U,
1HAS1,2016,entire,12,485,497,5009,forb,live,Unidentified forb,High,FS,Seeded,10,F,
1HAS1,2016,entire,10,0,10,5009,unkn,dead,Unknown plant,High,FS,Seeded,0,F,
1HAS1,2016,entire,7,165,172,5009,rone,live,Robinia neomexicana,High,FS,Seeded,3,S,
1HAS1,2016,entire,4,0,4,5009,moss,live,Moss,High,FS,Seeded,0,C,
1HAS1,2016,entire,4,122,126,5009,veth,live,Verbascum thapsus,High,FS,Seeded,2,F,
1HAS1,2016,entire,0,413,413,5009,quga,live,Quercus gambellii,High,FS,Seeded,8,S,
1HAS1,2016,entire,0,4,4,5009,lase,live,Lactuca serriola,High,FS,Seeded,0,F,
1HAS1,2019,entire,3050,0,3050,5010,pumc,live,Pumice soil,High,FS,Seeded,0,B,
1HAS1,2019,entire,1173,128,1301,5010,litt,live,Litter,High,FS,Seeded,3,L,
1HAS1,2019,entire,299,0,299,5010,bare,live,"combined soil,pumc,grav,rock",High,FS,Seeded,0,F,
1HAS1,2019,entire,257,1395,1652,5010,brin,live,Bromus inermis,High,FS,Seeded,28,G,
1HAS1,2019,entire,77,510,587,5010,mumo,live,Muhlenbergia montana,High,FS,Seeded,10,G,
1HAS1,2019,entire,43,223,266,5010,badi,live,Bahia dissecta,High,FS,Seeded,4,F,
1HAS1,2019,entire,32,18,50,5010,wood,live,Dead wood,High,FS,Seeded,0,L,
1HAS1,2019,entire,30,843,873,5010,cefe,live,Ceanothus fendleri,High,FS,Seeded,17,U,
1HAS1,2019,entire,15,66,81,5010,gras,live,Unidentified grass,High,FS,Seeded,1,G,
1HAS1,2019,entire,11,38,49,5010,bocu,live,Bouteloua curtipendula,High,FS,Seeded,1,G,
1HAS1,2019,entire,7,0,7,5010,moss,live,Moss,High,FS,Seeded,0,C,
1HAS1,2019,entire,5,23,28,5010,ipag,live,Ipomopsis aggregata,High,FS,Seeded,0,F,
1HAS1,2019,entire,5,33,38,5010,arlu,live,Artemisia ludoviciana,High,FS,Seeded,1,F,
1HAS1,2019,entire,2,462,464,5010,quga,live,Quercus gambellii,High,FS,Seeded,9,S,
1HAS1,2019,entire,2,0,2,5010,forb,live,Unidentified forb,High,FS,Seeded,0,F,
1HAS1,2019,entire,1,14,15,5010,cine,live,Cirsium neomexicanum,High,FS,Seeded,0,F,
1HAS1,2019,entire,1,3,4,5010,pamu,live,Packera multilobata -,High,FS,Seeded,0,F,
1HAS1,2019,entire,0,128,128,5010,rone,live,Robinia neomexicana,High,FS,Seeded,3,S,
1HAS1,2019,entire,0,7,7,5010,vimu,live,Viguiera multiflora,High,FS,Seeded,0,F,
1HAS1,2019,entire,0,14,14,5010,erxx,live,Erigeron spp.,High,FS,Seeded,0,F,
1HAS1,2019,entire,0,21,21,5010,bltr,live,Blepharoneuron tricholepis,High,FS,Seeded,0,L,
1HAS1,2019,entire,0,7,7,5010,ipag,dead,Ipomopsis aggregata,High,FS,Seeded,0,F,
1HAS1,2019,entire,0,16,16,5010,geca,live,Geranium caespitosum,High,FS,Seeded,0,F,
1HAS1,2019,entire,0,2,2,5010,oexx,live,Oenothera sp.,High,FS,Seeded,0,F,
1HAS1,2019,entire,0,8,8,5010,acmi,live,Achillea millefolium,High,FS,Seeded,0,F,
1HAS2,1997,entire,2530,0,2530,5000,soil,live,Soil,High,FS,Unseeded,0,B,
1HAS2,1997,entire,1408,0,1408,5000,rock,live,Rock,High,FS,Unseeded,0,B,
1HAS2,1997,entire,605,0,605,5000,litt,live,Litter,High,FS,Unseeded,0,L,
1HAS2,1997,entire,222,0,222,5000,moss,live,Moss,High,FS,Unseeded,0,C,
1HAS2,1997,entire,77,1364,1441,5000,casp,live,Carex spp.,High,FS,Unseeded,27,G,
1HAS2,1997,entire,57,81,138,5000,wood,live,Dead wood,High,FS,Unseeded,2,L,
1HAS2,1997,entire,31,0,31,5000,tree,live,Unidentified tree,High,FS,Unseeded,0,T,
1HAS2,1997,entire,20,1651,1671,5000,brca2,live,bromus carinatus,High,FS,Unseeded,33,G,
1HAS2,1997,entire,15,1166,1181,5000,quga,live,Quercus gambellii,High,FS,Unseeded,23,S,
1HAS2,1997,entire,12,0,12,5000,shit,live,Animal feces,High,FS,Unseeded,0,L,
1HAS2,1997,entire,10,720,730,5000,eltr,live,Elymus trachycaulum,High,FS,Unseeded,14,G,
1HAS2,1997,entire,9,0,9,5000,root,dead,"Tree root, exposed, living",High,FS,Unseeded,0,T,
1HAS2,1997,entire,4,74,78,5000,lomu,live,Lolium multiflorum,High,FS,Unseeded,1,G,
1HAS2,1997,entire,0,89,89,5000,brin,live,Bromus inermis,High,FS,Unseeded,2,G,
1HAS2,1997,entire,0,23,23,5000,gras2,live,Unidentified grass,High,FS,Unseeded,0,G,
1HAS2,1997,entire,0,617,617,5000,chfr,live,Chenopodium fremontii,High,FS,Unseeded,12,F,
1HAS2,1997,entire,0,151,151,5000,coau,live,Corydalis aurea,High,FS,Unseeded,3,F,
1HAS2,1997,entire,0,1,1,5000,sihy,live,Sitanion hystrix,High,FS,Unseeded,0,G,
1HAS2,1997,entire,0,17,17,5000,rone,live,Robinia neomexicana,High,FS,Unseeded,0,S,
1HAS2,1997,entire,0,149,149,5000,agsp,live,Agropyron species,High,FS,Unseeded,3,G,
1HAS2,1997,entire,0,49,49,5000,geca,live,Geranium caespitosum,High,FS,Unseeded,1,F,
1HAS2,1997,entire,0,47,47,5000,elsp,live,Elymus species,High,FS,Unseeded,1,G,
1HAS2,1997,entire,0,22,22,5000,chfr,dead,Chenopodium fremontii,High,FS,Unseeded,0,F,
1HAS2,1997,entire,0,3,3,5000,mush,live,Mushroom,High,FS,Unseeded,0,M,
1HAS2,1997,entire,0,3,3,5000,lope,live,Lolium perenne,High,FS,Unseeded,0,G,
1HAS2,2008,entire,4037,0,4037,5000,litt,live,Litter,High,FS,Unseeded,0,L,
1HAS2,2008,entire,523,2534,3057,5000,brin,live,Bromus inermis,High,FS,Unseeded,51,G,
1HAS2,2008,entire,249,0,249,5000,bare,live,"combined soil,cryp,pumc,grav,rock",High,FS,Unseeded,0,B,
1HAS2,2008,entire,111,60,171,5000,rock,live,Rock,High,FS,Unseeded,1,B,
1HAS2,2008,entire,68,553,621,5000,wood,live,Dead wood,High,FS,Unseeded,11,L,
1HAS2,2008,entire,10,0,10,5000,moss,live,Moss,High,FS,Unseeded,0,C,
1HAS2,2008,entire,2,1164,1166,5000,rone,live,Robinia neomexicana,High,FS,Unseeded,23,S,
1HAS2,2008,entire,0,2425,2425,5000,quga,live,Quercus gambellii,High,FS,Unseeded,49,S,
1HAS2,2008,entire,0,632,632,5000,gras,live,Unidentified grass,High,FS,Unseeded,13,G,
1HAS2,2008,entire,0,82,82,5000,mumo,live,Muhlenbergia montana,High,FS,Unseeded,2,G,
1HAS2,2008,entire,0,19,19,5000,scsc,live,Schizachyrium scoparius,High,FS,Unseeded,0,G,
1HAS2,2008,entire,0,28,28,5000,bocu,live,Bouteloua curtipendula,High,FS,Unseeded,1,G,
1HAS2,2008,entire,0,72,72,5000,caxx,live,Carex spp.,High,FS,Unseeded,1,G,
1HAS2,2008,entire,0,25,25,5000,acla,live,Achillea millefolium,High,FS,Unseeded,1,F,
1HAS2,2013,entire,2400,0,2400,5005,bare,live,"combined soil,pumc,grav,rock",High,FS,Unseeded,0,F,
1HAS2,2013,entire,1655,82,1737,5005,rock,live,Rock,High,FS,Unseeded,2,B,
1HAS2,2013,entire,753,0,753,5005,litt,live,Litter,High,FS,Unseeded,0,L,
1HAS2,2013,entire,135,1055,1190,5005,brin,live,Bromus inermis,High,FS,Unseeded,21,G,
1HAS2,2013,entire,39,1245,1284,5005,quga,live,Quercus gambellii,High,FS,Unseeded,25,S,
1HAS2,2013,entire,23,151,174,5005,wood,live,Dead wood,High,FS,Unseeded,3,L,
1HAS2,2013,entire,0,747,747,5005,rone,live,Robinia neomexicana,High,FS,Unseeded,15,S,
1HAS2,2013,entire,0,2,2,5005,rowo,live,Rosa woodsii,High,FS,Unseeded,0,T,
1HAS2,2013,entire,0,7,7,5005,chfr,live,Chenopodium fremontii,High,FS,Unseeded,0,F,
1HAS2,2013,entire,0,44,44,5005,quga,dead,Quercus gambellii,High,FS,Unseeded,1,S,
1HAS2,2013,entire,0,5,5,5005,caxx,live,Carex spp.,High,FS,Unseeded,0,G,
1HAS2,2013,entire,0,55,55,5005,agtr,live,Agropyron trachycaulum,High,FS,Unseeded,1,G,
1HAS2,2016,entire,1549,0,1549,5002,litt,live,Litter,High,FS,Unseeded,0,L,
1HAS2,2016,entire,1477,243,1720,5002,rock,live,Rock,High,FS,Unseeded,5,B,
1HAS2,2016,entire,1229,2651,3880,5002,brin,live,Bromus inermis,High,FS,Unseeded,53,G,
1HAS2,2016,entire,665,0,665,5002,bare,live,"combined soil,pumc,grav,rock",High,FS,Unseeded,0,F,
1HAS2,2016,entire,34,901,935,5002,rone,live,Robinia neomexicana,High,FS,Unseeded,18,S,
1HAS2,2016,entire,22,178,200,5002,gras,live,Unidentified grass,High,FS,Unseeded,4,G,
1HAS2,2016,entire,17,1662,1679,5002,quga,live,Quercus gambellii,High,FS,Unseeded,33,S,
1HAS2,2016,entire,6,0,6,5002,moss,live,Moss,High,FS,Unseeded,0,C,
1HAS2,2016,entire,3,93,96,5002,wood,live,Dead wood,High,FS,Unseeded,2,L,
1HAS2,2016,entire,0,11,11,5002,forb,live,Unidentified forb,High,FS,Unseeded,0,F,
1HAS2,2019,entire,1962,0,1962,5000,litt,live,Litter,High,FS,Unseeded,0,L,
1HAS2,2019,entire,1645,0,1645,5000,rock,live,Rock,High,FS,Unseeded,0,B,
1HAS2,2019,entire,1028,2923,3951,5000,brin,live,Bromus inermis,High,FS,Unseeded,58,G,
1HAS2,2019,entire,217,0,217,5000,bare,live,"combined soil,pumc,grav,rock",High,FS,Unseeded,0,F,
1HAS2,2019,entire,60,1908,1968,5000,quga,live,Quercus gambellii,High,FS,Unseeded,38,S,
1HAS2,2019,entire,57,20,77,5000,wood,live,Dead wood,High,FS,Unseeded,0,L,
1HAS2,2019,entire,14,992,1006,5000,rone,live,Robinia neomexicana,High,FS,Unseeded,20,S,
1HAS2,2019,entire,11,76,87,5000,agxx2,live,Agropyron sp.,High,FS,Unseeded,2,G,
1HAS2,2019,entire,3,0,3,5000,moss,live,Moss,High,FS,Unseeded,0,C,
1HAS2,2019,entire,2,159,161,5000,care,live,Carex spp.,High,FS,Unseeded,3,G,
1HAS2,2019,entire,1,8,9,5000,arlu,live,Artemisia ludoviciana,High,FS,Unseeded,0,F,
1HAS2,2019,entire,0,31,31,5000,rone,dead,Robinia neomexicana,High,FS,Unseeded,1,S,
1HAS2,2019,entire,0,3,3,5000,forb,live,Unidentified forb,High,FS,Unseeded,0,F,
1HAS2,2019,entire,0,9,9,5000,rowo,live,Rosa woodsii,High,FS,Unseeded,0,T,
1HAS2,2019,entire,0,4,4,5000,gras,live,Unidentified grass,High,FS,Unseeded,0,G,
1HBS1,1997,entire,2439,0,2439,5000,soil,live,Soil,Mod,FS,Unseeded,0,B,
1HBS1,1997,entire,1992,0,1992,5000,litt,live,Litter,Mod,FS,Unseeded,0,L,
1HBS1,1997,entire,291,0,291,5000,moss,live,Moss,Mod,FS,Unseeded,0,C,
1HBS1,1997,entire,183,2701,2884,5000,brca2,live,bromus carinatus,Mod,FS,Unseeded,54,G,
1HBS1,1997,entire,54,188,242,5000,casp,live,Carex spp.,Mod,FS,Unseeded,4,G,
1HBS1,1997,entire,22,0,22,5000,wood,live,Dead wood,Mod,FS,Unseeded,0,L,
1HBS1,1997,entire,7,0,7,5000,pipo,dead,Pinus ponderosa,Mod,FS,Unseeded,0,T,
1HBS1,1997,entire,7,32,39,5000,lomu,live,Lolium multiflorum,Mod,FS,Unseeded,1,G,
1HBS1,1997,entire,2,47,49,5000,lope,live,Lolium perenne,Mod,FS,Unseeded,1,G,
1HBS1,1997,entire,1,53,54,5000,rone,live,Robinia neomexicana,Mod,FS,Unseeded,1,S,
1HBS1,1997,entire,1,40,41,5000,gras2,live,Unidentified grass,Mod,FS,Unseeded,1,G,
1HBS1,1997,entire,1,0,1,5000,rock,live,Rock,Mod,FS,Unseeded,0,B,
1HBS1,1997,entire,0,20,20,5000,mela2,live,Mertensia lanceolata,Mod,FS,Unseeded,0,F,
1HBS1,1997,entire,0,339,339,5000,eltr,live,Elymus trachycaulum,Mod,FS,Unseeded,7,G,
1HBS1,1997,entire,0,23,23,5000,brte,live,Bromus tectorum,Mod,FS,Unseeded,0,G,
1HBS1,1997,entire,0,68,68,5000,quga,live,Quercus gambellii,Mod,FS,Unseeded,1,S,
1HBS1,1997,entire,0,13,13,5000,brin,live,Bromus inermis,Mod,FS,Unseeded,0,G,
1HBS1,1997,entire,0,86,86,5000,coau,live,Corydalis aurea,Mod,FS,Unseeded,2,F,
1HBS1,1997,entire,0,78,78,5000,chfr,live,Chenopodium fremontii,Mod,FS,Unseeded,2,F,
1HBS1,1997,entire,0,36,36,5000,brja,live,Bromus japonicus,Mod,FS,Unseeded,1,G,
1HBS1,1997,entire,0,3,3,5000,gras,dead,Unidentified grass,Mod,FS,Unseeded,0,G,
1HBS1,1998,entire,2640,0,2640,5000,litt,live,Litter,Mod,FS,Unseeded,0,L,
1HBS1,1998,entire,1814,0,1814,5000,moss,live,Moss,Mod,FS,Unseeded,0,C,
1HBS1,1998,entire,201,0,201,5000,soil,live,Soil,Mod,FS,Unseeded,0,B,
1HBS1,1998,entire,120,692,812,5000,eltr,live,Elymus trachycaulum,Mod,FS,Unseeded,14,G,
1HBS1,1998,entire,117,2755,2872,5000,brca2,live,bromus carinatus,Mod,FS,Unseeded,55,G,
1HBS1,1998,entire,42,496,538,5000,casp,live,Carex spp.,Mod,FS,Unseeded,10,G,
1HBS1,1998,entire,22,0,22,5000,abco,dead,Abies concolor,Mod,FS,Unseeded,0,T,
1HBS1,1998,entire,13,0,13,5000,grav,live,Gravel,Mod,FS,Unseeded,0,B,
1HBS1,1998,entire,9,116,125,5000,gras,live,Unidentified grass,Mod,FS,Unseeded,2,G,
1HBS1,1998,entire,9,0,9,5000,root,live,"Tree root, exposed, living",Mod,FS,Unseeded,0,T,
1HBS1,1998,entire,6,289,295,5000,brin,live,Bromus inermis,Mod,FS,Unseeded,6,G,
1HBS1,1998,entire,4,2,6,5000,wood,live,Dead wood,Mod,FS,Unseeded,0,L,
1HBS1,1998,entire,3,132,135,5000,quga,live,Quercus gambellii,Mod,FS,Unseeded,3,S,
1HBS1,1998,entire,0,55,55,5000,brca2,dead,bromus carinatus,Mod,FS,Unseeded,1,G,
1HBS1,1998,entire,0,44,44,5000,rone,live,Robinia neomexicana,Mod,FS,Unseeded,1,S,
1HBS1,1998,entire,0,1,1,5000,eltr,dead,Elymus trachycaulum,Mod,FS,Unseeded,0,G,
1HBS1,1998,entire,0,21,21,5000,gras2,live,Unidentified grass,Mod,FS,Unseeded,0,G,
1HBS1,1998,entire,0,110,110,5000,brin,dead,Bromus inermis,Mod,FS,Unseeded,2,G,
1HBS1,2008,entire,2615,4374,6989,5008,brin,live,Bromus inermis,Mod,FS,Unseeded,87,G,
1HBS1,2008,entire,1922,0,1922,5008,litt,live,Litter,Mod,FS,Unseeded,0,L,
1HBS1,2008,entire,293,0,293,5008,moss,live,Moss,Mod,FS,Unseeded,0,C,
1HBS1,2008,entire,154,673,827,5008,wood,live,Dead wood,Mod,FS,Unseeded,13,L,
1HBS1,2008,entire,22,32,54,5008,anpa,live,Antennaria parvifolia,Mod,FS,Unseeded,1,F,
